Reviewer_ID;Project Title;Feasibility Rating;Rating Accuracy
z_assessor_2636;Discord Social Credential;5;1
z_assessor_2935;Discord Social Credential;5;1
z_assessor_3063;Discord Social Credential;5;1
z_assessor_3189;Discord Social Credential;5;1
z_assessor_3454;Discord Social Credential;5;1
z_assessor_2040;WAL-CLI Issue Credential Protocol;5;0
z_assessor_2299;WAL-CLI Issue Credential Protocol;5;0
z_assessor_2823;WAL-CLI Issue Credential Protocol;5;0
z_assessor_2911;WAL-CLI Issue Credential Protocol;4;0
z_assessor_3879;WAL-CLI Issue Credential Protocol;5;0
z_assessor_2040;CardanoPress: Governance Plugin;5;1
z_assessor_2292;CardanoPress: Governance Plugin;3;0
z_assessor_2299;CardanoPress: Governance Plugin;4;1
z_assessor_2360;CardanoPress: Governance Plugin;5;1
z_assessor_2548;CardanoPress: Governance Plugin;5;1
z_assessor_3521;CardanoPress: Governance Plugin;5;1
z_assessor_2044;Flutter SDK;5;0
z_assessor_2123;Flutter SDK;5;0
z_assessor_2643;Flutter SDK;5;0
z_assessor_2684;Flutter SDK;5;0
z_assessor_2781;Flutter SDK;5;0
z_assessor_2982;Flutter SDK;5;0
z_assessor_2996;Flutter SDK;4;0
z_assessor_3008;Flutter SDK;5;0
z_assessor_2047;MLabs - Embedano (Embedded Devices);5;1
z_assessor_2299;MLabs - Embedano (Embedded Devices);3;0
z_assessor_2352;MLabs - Embedano (Embedded Devices);5;1
z_assessor_2356;MLabs - Embedano (Embedded Devices);5;1
z_assessor_2622;MLabs - Embedano (Embedded Devices);4;1
z_assessor_2824;MLabs - Embedano (Embedded Devices);5;1
z_assessor_2940;MLabs - Embedano (Embedded Devices);4;1
z_assessor_2989;MLabs - Embedano (Embedded Devices);3;0
z_assessor_2992;MLabs - Embedano (Embedded Devices);4;1
z_assessor_2996;MLabs - Embedano (Embedded Devices);5;1
z_assessor_3246;MLabs - Embedano (Embedded Devices);4;1
z_assessor_2047;Enable Eternl;4;0
z_assessor_2138;Enable Eternl;5;0
z_assessor_2255;Enable Eternl;3;1
z_assessor_2534;Enable Eternl;4;0
z_assessor_2636;Enable Eternl;5;0
z_assessor_2718;Enable Eternl;5;0
z_assessor_2883;Enable Eternl;3;1
z_assessor_3183;Enable Eternl;4;0
z_assessor_3296;Enable Eternl;3;1
z_assessor_3497;Enable Eternl;5;0
z_assessor_2047;Liquid staking for Milkomeda / L2s;4;1
z_assessor_2324;Liquid staking for Milkomeda / L2s;4;1
z_assessor_2335;Liquid staking for Milkomeda / L2s;5;1
z_assessor_2482;Liquid staking for Milkomeda / L2s;4;1
z_assessor_2736;Liquid staking for Milkomeda / L2s;4;1
z_assessor_2761;Liquid staking for Milkomeda / L2s;5;1
z_assessor_2047;dcSpark (the company iteslf);3;1
z_assessor_2073;dcSpark (the company iteslf);5;0
z_assessor_2148;dcSpark (the company iteslf);1;1
z_assessor_2324;dcSpark (the company iteslf);2;1
z_assessor_2335;dcSpark (the company iteslf);3;1
z_assessor_2358;dcSpark (the company iteslf);1;1
z_assessor_2482;dcSpark (the company iteslf);3;1
z_assessor_2736;dcSpark (the company iteslf);4;0
z_assessor_2795;dcSpark (the company iteslf);3;1
z_assessor_3514;dcSpark (the company iteslf);4;0
z_assessor_2047;Fast reindexable data format;4;1
z_assessor_2169;Fast reindexable data format;2;0
z_assessor_2324;Fast reindexable data format;4;1
z_assessor_2335;Fast reindexable data format;4;1
z_assessor_2544;Fast reindexable data format;3;0
z_assessor_2684;Fast reindexable data format;5;1
z_assessor_2893;Fast reindexable data format;3;0
z_assessor_3068;Fast reindexable data format;3;0
z_assessor_3241;Fast reindexable data format;4;1
z_assessor_4072;Fast reindexable data format;2;0
z_assessor_2047;Carp over-budget + maintenance;3;0
z_assessor_2123;Carp over-budget + maintenance;2;0
z_assessor_2169;Carp over-budget + maintenance;2;0
z_assessor_2324;Carp over-budget + maintenance;3;0
z_assessor_2332;Carp over-budget + maintenance;5;1
z_assessor_2335;Carp over-budget + maintenance;4;1
z_assessor_2482;Carp over-budget + maintenance;4;1
z_assessor_2980;Carp over-budget + maintenance;2;0
z_assessor_4072;Carp over-budget + maintenance;3;0
z_assessor_2047;cip25 (NFT) Rust & WASM library;5;1
z_assessor_2123;cip25 (NFT) Rust & WASM library;4;1
z_assessor_2169;cip25 (NFT) Rust & WASM library;4;1
z_assessor_2290;cip25 (NFT) Rust & WASM library;3;0
z_assessor_2335;cip25 (NFT) Rust & WASM library;4;1
z_assessor_2482;cip25 (NFT) Rust & WASM library;5;1
z_assessor_2684;cip25 (NFT) Rust & WASM library;5;1
z_assessor_2720;cip25 (NFT) Rust & WASM library;5;1
z_assessor_2980;cip25 (NFT) Rust & WASM library;1;0
z_assessor_2047;BLOCKTRUST identity wallet (PRISM);5;1
z_assessor_2902;BLOCKTRUST identity wallet (PRISM);5;1
z_assessor_3105;BLOCKTRUST identity wallet (PRISM);5;1
z_assessor_3237;BLOCKTRUST identity wallet (PRISM);5;1
z_assessor_3872;BLOCKTRUST identity wallet (PRISM);5;1
z_assessor_3988;BLOCKTRUST identity wallet (PRISM);5;1
z_assessor_3996;BLOCKTRUST identity wallet (PRISM);5;1
z_assessor_2047;DripDropz Cardano Mainstreet Suite;5;0
z_assessor_2108;DripDropz Cardano Mainstreet Suite;5;0
z_assessor_2142;DripDropz Cardano Mainstreet Suite;4;0
z_assessor_2335;DripDropz Cardano Mainstreet Suite;5;0
z_assessor_3161;DripDropz Cardano Mainstreet Suite;4;0
z_assessor_2047;MLabs - Cardano Throughput Solution;5;1
z_assessor_2123;MLabs - Cardano Throughput Solution;5;1
z_assessor_2280;MLabs - Cardano Throughput Solution;4;1
z_assessor_2352;MLabs - Cardano Throughput Solution;4;1
z_assessor_2675;MLabs - Cardano Throughput Solution;5;1
z_assessor_3314;MLabs - Cardano Throughput Solution;5;1
z_assessor_2047;Ledger Live Integration #2;5;1
z_assessor_2060;Ledger Live Integration #2;5;1
z_assessor_2102;Ledger Live Integration #2;5;1
z_assessor_2380;Ledger Live Integration #2;5;1
z_assessor_2745;Ledger Live Integration #2;5;1
z_assessor_2917;Ledger Live Integration #2;5;1
z_assessor_2956;Ledger Live Integration #2;4;1
z_assessor_2980;Ledger Live Integration #2;4;1
z_assessor_3289;Ledger Live Integration #2;5;1
z_assessor_4073;Ledger Live Integration #2;4;1
z_assessor_2060;AI lawyer on Cardano - Profila/HSLU;5;1
z_assessor_2215;AI lawyer on Cardano - Profila/HSLU;5;1
z_assessor_2217;AI lawyer on Cardano - Profila/HSLU;4;1
z_assessor_2274;AI lawyer on Cardano - Profila/HSLU;5;1
z_assessor_2352;AI lawyer on Cardano - Profila/HSLU;5;1
z_assessor_2711;AI lawyer on Cardano - Profila/HSLU;4;1
z_assessor_2824;AI lawyer on Cardano - Profila/HSLU;5;1
z_assessor_2856;AI lawyer on Cardano - Profila/HSLU;4;1
z_assessor_2879;AI lawyer on Cardano - Profila/HSLU;4;1
z_assessor_2902;AI lawyer on Cardano - Profila/HSLU;5;1
z_assessor_2924;AI lawyer on Cardano - Profila/HSLU;5;1
z_assessor_3008;AI lawyer on Cardano - Profila/HSLU;5;1
z_assessor_3016;AI lawyer on Cardano - Profila/HSLU;5;1
z_assessor_3046;AI lawyer on Cardano - Profila/HSLU;5;1
z_assessor_3188;AI lawyer on Cardano - Profila/HSLU;4;1
z_assessor_3319;AI lawyer on Cardano - Profila/HSLU;5;1
z_assessor_4075;AI lawyer on Cardano - Profila/HSLU;3;0
z_assessor_2060;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_2186;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_2222;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_2256;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_2292;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_2312;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_2464;Ethereum and Cardano Web3 Wallet;4;1
z_assessor_2580;Ethereum and Cardano Web3 Wallet;4;1
z_assessor_2616;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_2713;Ethereum and Cardano Web3 Wallet;4;1
z_assessor_2714;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_2847;Ethereum and Cardano Web3 Wallet;4;1
z_assessor_2911;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_2924;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_3187;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_3250;Ethereum and Cardano Web3 Wallet;4;1
z_assessor_3265;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_3320;Ethereum and Cardano Web3 Wallet;4;1
z_assessor_3521;Ethereum and Cardano Web3 Wallet;4;1
z_assessor_4009;Ethereum and Cardano Web3 Wallet;5;1
z_assessor_4106;Ethereum and Cardano Web3 Wallet;3;0
z_assessor_2061;CNFT Community in Asian Community;3;0
z_assessor_2217;CNFT Community in Asian Community;5;1
z_assessor_2489;CNFT Community in Asian Community;5;1
z_assessor_2513;CNFT Community in Asian Community;4;1
z_assessor_2751;CNFT Community in Asian Community;5;1
z_assessor_2771;CNFT Community in Asian Community;5;1
z_assessor_3156;CNFT Community in Asian Community;5;1
z_assessor_3198;CNFT Community in Asian Community;5;1
z_assessor_3235;CNFT Community in Asian Community;5;1
z_assessor_3270;CNFT Community in Asian Community;4;1
z_assessor_3353;CNFT Community in Asian Community;4;1
z_assessor_3449;CNFT Community in Asian Community;5;1
z_assessor_3494;CNFT Community in Asian Community;4;1
z_assessor_3616;CNFT Community in Asian Community;5;1
z_assessor_3870;CNFT Community in Asian Community;5;1
z_assessor_2061;Quality Assurance of Organic Foods;3;1
z_assessor_2503;Quality Assurance of Organic Foods;3;1
z_assessor_2663;Quality Assurance of Organic Foods;4;0
z_assessor_2771;Quality Assurance of Organic Foods;5;0
z_assessor_3046;Quality Assurance of Organic Foods;3;1
z_assessor_3270;Quality Assurance of Organic Foods;3;1
z_assessor_3281;Quality Assurance of Organic Foods;3;1
z_assessor_2061;Japanese Traditional Crafts NFT;3;0
z_assessor_2517;Japanese Traditional Crafts NFT;4;1
z_assessor_2578;Japanese Traditional Crafts NFT;5;1
z_assessor_2771;Japanese Traditional Crafts NFT;5;1
z_assessor_3046;Japanese Traditional Crafts NFT;3;0
z_assessor_3170;Japanese Traditional Crafts NFT;4;1
z_assessor_3241;Japanese Traditional Crafts NFT;4;1
z_assessor_3425;Japanese Traditional Crafts NFT;4;1
z_assessor_3445;Japanese Traditional Crafts NFT;3;0
z_assessor_3870;Japanese Traditional Crafts NFT;5;1
z_assessor_2073;Cardano NFT Gaming - Lovelace Saga!;4;1
z_assessor_2274;Cardano NFT Gaming - Lovelace Saga!;3;0
z_assessor_2956;Cardano NFT Gaming - Lovelace Saga!;4;1
z_assessor_3231;Cardano NFT Gaming - Lovelace Saga!;3;0
z_assessor_3445;Cardano NFT Gaming - Lovelace Saga!;5;1
z_assessor_3650;Cardano NFT Gaming - Lovelace Saga!;5;1
z_assessor_3691;Cardano NFT Gaming - Lovelace Saga!;4;1
z_assessor_2073;ADAO- NFT Fractionalization Dapp;5;1
z_assessor_2237;ADAO- NFT Fractionalization Dapp;4;1
z_assessor_2695;ADAO- NFT Fractionalization Dapp;4;1
z_assessor_2945;ADAO- NFT Fractionalization Dapp;4;1
z_assessor_2980;ADAO- NFT Fractionalization Dapp;4;1
z_assessor_4045;ADAO- NFT Fractionalization Dapp;4;1
z_assessor_2073;Poolpeek Stake Pool Pledge Tracker;4;0
z_assessor_2129;Poolpeek Stake Pool Pledge Tracker;5;0
z_assessor_2335;Poolpeek Stake Pool Pledge Tracker;5;0
z_assessor_2496;Poolpeek Stake Pool Pledge Tracker;5;0
z_assessor_2525;Poolpeek Stake Pool Pledge Tracker;4;0
z_assessor_2817;Poolpeek Stake Pool Pledge Tracker;5;0
z_assessor_3872;Poolpeek Stake Pool Pledge Tracker;3;1
z_assessor_2073;Decentralized Social Intelligence;5;1
z_assessor_2257;Decentralized Social Intelligence;4;1
z_assessor_2845;Decentralized Social Intelligence;4;1
z_assessor_2848;Decentralized Social Intelligence;5;1
z_assessor_3013;Decentralized Social Intelligence;4;1
z_assessor_2088;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_2194;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_2458;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_2461;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_2552;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_2702;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_2749;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_2822;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_2830;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_2831;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_2890;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_2908;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_2919;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_2927;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_2933;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3046;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3093;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_3106;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3123;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3140;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3160;Ghana Youth Onboarding Outreach 2;3;0
z_assessor_3193;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3216;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3256;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3260;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3262;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3344;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3352;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_3406;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3472;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3489;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_3495;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_3521;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_3555;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3619;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3648;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3696;Ghana Youth Onboarding Outreach 2;4;1
z_assessor_3759;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_3833;Ghana Youth Onboarding Outreach 2;5;1
z_assessor_2088;Swahili Learn to Earn;4;1
z_assessor_2259;Swahili Learn to Earn;5;1
z_assessor_2458;Swahili Learn to Earn;5;1
z_assessor_2513;Swahili Learn to Earn;5;1
z_assessor_2552;Swahili Learn to Earn;4;1
z_assessor_2678;Swahili Learn to Earn;5;1
z_assessor_2786;Swahili Learn to Earn;5;1
z_assessor_3216;Swahili Learn to Earn;5;1
z_assessor_3235;Swahili Learn to Earn;5;1
z_assessor_3833;Swahili Learn to Earn;5;1
z_assessor_3840;Swahili Learn to Earn;5;1
z_assessor_4010;Swahili Learn to Earn;4;1
z_assessor_4093;Swahili Learn to Earn;4;1
z_assessor_2088;Nurturing Roots in Africa;4;1
z_assessor_2127;Nurturing Roots in Africa;5;1
z_assessor_2232;Nurturing Roots in Africa;4;1
z_assessor_2409;Nurturing Roots in Africa;5;1
z_assessor_2458;Nurturing Roots in Africa;5;1
z_assessor_2513;Nurturing Roots in Africa;5;1
z_assessor_2539;Nurturing Roots in Africa;4;1
z_assessor_2644;Nurturing Roots in Africa;5;1
z_assessor_2671;Nurturing Roots in Africa;5;1
z_assessor_2681;Nurturing Roots in Africa;4;1
z_assessor_2704;Nurturing Roots in Africa;5;1
z_assessor_2722;Nurturing Roots in Africa;5;1
z_assessor_2749;Nurturing Roots in Africa;4;1
z_assessor_2754;Nurturing Roots in Africa;5;1
z_assessor_2822;Nurturing Roots in Africa;4;1
z_assessor_2886;Nurturing Roots in Africa;5;1
z_assessor_2895;Nurturing Roots in Africa;5;1
z_assessor_2908;Nurturing Roots in Africa;5;1
z_assessor_2968;Nurturing Roots in Africa;4;1
z_assessor_2971;Nurturing Roots in Africa;4;1
z_assessor_3027;Nurturing Roots in Africa;5;1
z_assessor_3067;Nurturing Roots in Africa;5;1
z_assessor_3193;Nurturing Roots in Africa;5;1
z_assessor_3260;Nurturing Roots in Africa;5;1
z_assessor_3262;Nurturing Roots in Africa;5;1
z_assessor_3264;Nurturing Roots in Africa;5;1
z_assessor_3265;Nurturing Roots in Africa;5;1
z_assessor_3356;Nurturing Roots in Africa;5;1
z_assessor_3401;Nurturing Roots in Africa;4;1
z_assessor_3696;Nurturing Roots in Africa;5;1
z_assessor_3759;Nurturing Roots in Africa;4;1
z_assessor_3833;Nurturing Roots in Africa;5;1
z_assessor_4001;Nurturing Roots in Africa;5;1
z_assessor_2088;Boosting Cardano In South Africa;5;1
z_assessor_2299;Boosting Cardano In South Africa;5;1
z_assessor_2458;Boosting Cardano In South Africa;4;1
z_assessor_2489;Boosting Cardano In South Africa;4;1
z_assessor_2513;Boosting Cardano In South Africa;5;1
z_assessor_2518;Boosting Cardano In South Africa;5;1
z_assessor_2822;Boosting Cardano In South Africa;3;0
z_assessor_2890;Boosting Cardano In South Africa;5;1
z_assessor_2933;Boosting Cardano In South Africa;5;1
z_assessor_2985;Boosting Cardano In South Africa;4;1
z_assessor_3008;Boosting Cardano In South Africa;5;1
z_assessor_3123;Boosting Cardano In South Africa;5;1
z_assessor_3235;Boosting Cardano In South Africa;4;1
z_assessor_3264;Boosting Cardano In South Africa;5;1
z_assessor_3438;Boosting Cardano In South Africa;5;1
z_assessor_3489;Boosting Cardano In South Africa;5;1
z_assessor_3490;Boosting Cardano In South Africa;3;0
z_assessor_3521;Boosting Cardano In South Africa;4;1
z_assessor_3696;Boosting Cardano In South Africa;5;1
z_assessor_3787;Boosting Cardano In South Africa;5;1
z_assessor_3833;Boosting Cardano In South Africa;5;1
z_assessor_2088;Catalyst Campus Train;4;1
z_assessor_2476;Catalyst Campus Train;5;1
z_assessor_2786;Catalyst Campus Train;5;1
z_assessor_2822;Catalyst Campus Train;4;1
z_assessor_2890;Catalyst Campus Train;5;1
z_assessor_2908;Catalyst Campus Train;5;1
z_assessor_2927;Catalyst Campus Train;5;1
z_assessor_3052;Catalyst Campus Train;5;1
z_assessor_3109;Catalyst Campus Train;5;1
z_assessor_3123;Catalyst Campus Train;5;1
z_assessor_3232;Catalyst Campus Train;5;1
z_assessor_3260;Catalyst Campus Train;5;1
z_assessor_3264;Catalyst Campus Train;5;1
z_assessor_3528;Catalyst Campus Train;5;1
z_assessor_3648;Catalyst Campus Train;5;1
z_assessor_3696;Catalyst Campus Train;5;1
z_assessor_3833;Catalyst Campus Train;5;1
z_assessor_3989;Catalyst Campus Train;5;1
z_assessor_2088;Cardano Youth Ambassadors;5;1
z_assessor_2458;Cardano Youth Ambassadors;5;1
z_assessor_2669;Cardano Youth Ambassadors;5;1
z_assessor_2786;Cardano Youth Ambassadors;5;1
z_assessor_2908;Cardano Youth Ambassadors;5;1
z_assessor_2930;Cardano Youth Ambassadors;5;1
z_assessor_2982;Cardano Youth Ambassadors;5;1
z_assessor_3008;Cardano Youth Ambassadors;5;1
z_assessor_3243;Cardano Youth Ambassadors;5;1
z_assessor_3265;Cardano Youth Ambassadors;5;1
z_assessor_3833;Cardano Youth Ambassadors;5;1
z_assessor_2093;DADF - Disruptive Comm. Application;3;0
z_assessor_2108;DADF - Disruptive Comm. Application;4;1
z_assessor_2129;DADF - Disruptive Comm. Application;5;1
z_assessor_2299;DADF - Disruptive Comm. Application;2;0
z_assessor_2352;DADF - Disruptive Comm. Application;3;0
z_assessor_2720;DADF - Disruptive Comm. Application;4;1
z_assessor_2736;DADF - Disruptive Comm. Application;4;1
z_assessor_2911;DADF - Disruptive Comm. Application;4;1
z_assessor_3255;DADF - Disruptive Comm. Application;2;0
z_assessor_2098;Cardano SSI Contributors - Season 2;5;1
z_assessor_2174;Cardano SSI Contributors - Season 2;5;1
z_assessor_2222;Cardano SSI Contributors - Season 2;5;1
z_assessor_2233;Cardano SSI Contributors - Season 2;5;1
z_assessor_2261;Cardano SSI Contributors - Season 2;5;1
z_assessor_2636;Cardano SSI Contributors - Season 2;5;1
z_assessor_2781;Cardano SSI Contributors - Season 2;5;1
z_assessor_2098;Unreal Engine Integration;5;0
z_assessor_2146;Unreal Engine Integration;5;0
z_assessor_2284;Unreal Engine Integration;4;0
z_assessor_2513;Unreal Engine Integration;4;0
z_assessor_2855;Unreal Engine Integration;5;0
z_assessor_3045;Unreal Engine Integration;5;0
z_assessor_3205;Unreal Engine Integration;5;0
z_assessor_2098;NFT Game Marketplace Cross-Chain;5;0
z_assessor_2461;NFT Game Marketplace Cross-Chain;5;0
z_assessor_2714;NFT Game Marketplace Cross-Chain;4;0
z_assessor_2786;NFT Game Marketplace Cross-Chain;5;0
z_assessor_2893;NFT Game Marketplace Cross-Chain;5;0
z_assessor_2974;NFT Game Marketplace Cross-Chain;5;0
z_assessor_3023;NFT Game Marketplace Cross-Chain;5;0
z_assessor_3144;NFT Game Marketplace Cross-Chain;4;0
z_assessor_3182;NFT Game Marketplace Cross-Chain;4;0
z_assessor_4100;NFT Game Marketplace Cross-Chain;5;0
z_assessor_4101;NFT Game Marketplace Cross-Chain;5;0
z_assessor_2098;Global Compliance 200+ Jurisdiction;5;0
z_assessor_2215;Global Compliance 200+ Jurisdiction;5;0
z_assessor_2636;Global Compliance 200+ Jurisdiction;5;0
